H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	6	2	61.90	1.4990	2	0.5
1	-1	9	61.93	1.4983	2	0.3
1	1	9	61.93	1.4983	2	0.3
2	2	7	62.21	1.4922	2	0.2
2	-2	7	62.21	1.4922	2	0.2
1	-3	8	62.93	1.4769	2	0.9
1	3	8	62.93	1.4769	2	0.9
1	-5	5	62.98	1.4758	2	0.0
1	5	5	62.98	1.4758	2	0.0
3	-3	-3	62.99	1.4757	2	0.1
3	3	-3	62.99	1.4757	2	0.1
2	2	-8	63.31	1.4690	2	0.4
2	-2	-8	63.31	1.4690	2	0.4
3	-3	2	63.34	1.4684	2	0.7
3	3	2	63.34	1.4684	2	0.7
0	6	3	63.70	1.4609	2	0.1
0	6	-3	63.70	1.4609	2	0.1
0	0	10	63.78	1.4592	2	0.0
2	-4	5	63.89	1.4571	2	0.1
2	4	5	63.89	1.4571	2	0.1
3	-1	-6	64.14	1.4519	2	0.2
3	1	-6	64.14	1.4519	2	0.2
2	0	8	64.26	1.4495	2	0.3
2	-4	-6	64.68	1.4412	2	0.1
2	4	-6	64.68	1.4412	2	0.1
3	1	5	64.91	1.4366	2	0.0
3	-1	5	64.91	1.4366	2	0.0
3	-3	-4	65.05	1.4338	2	0.2
3	3	-4	65.05	1.4338	2	0.2
0	4	-8	65.32	1.4286	2	0.2
0	4	8	65.32	1.4286	2	0.2
1	-5	-6	65.33	1.4283	2	0.1
1	5	-6	65.33	1.4283	2	0.1
2	0	-9	65.47	1.4255	2	0.2
3	-3	3	65.53	1.4244	2	0.1
3	3	3	65.53	1.4244	2	0.1
0	6	-4	66.17	1.4122	2	0.2
0	6	4	66.17	1.4122	2	0.2
1	-3	-9	66.54	1.4052	2	0.9
1	3	-9	66.54	1.4052	2	0.9
1	-5	6	67.00	1.3966	2	0.0
1	5	6	67.00	1.3966	2	0.0
0	2	10	67.32	1.3908	2	0.1
3	-3	-5	67.77	1.3826	2	0.2
3	3	-5	67.77	1.3826	2	0.2
2	2	8	67.79	1.3823	2	0.0
2	-2	8	67.79	1.3823	2	0.0
2	4	6	68.02	1.3783	2	0.0
2	-4	6	68.02	1.3783	2	0.0
3	1	-7	68.27	1.3738	2	0.0
3	-1	-7	68.27	1.3738	2	0.0
3	-3	4	68.38	1.3718	2	0.1
3	3	4	68.38	1.3718	2	0.1
1	-1	10	68.76	1.3652	2	0.1
1	1	10	68.76	1.3652	2	0.1
2	4	-7	68.92	1.3624	2	0.3
2	-4	-7	68.92	1.3624	2	0.3
2	2	-9	68.97	1.3615	2	0.3
2	-2	-9	68.97	1.3615	2	0.3
1	3	9	69.02	1.3606	2	0.2
1	-3	9	69.02	1.3606	2	0.2
3	1	6	69.15	1.3585	2	0.1
3	-1	6	69.15	1.3585	2	0.1
0	6	-5	69.28	1.3562	2	0.3
0	6	5	69.28	1.3562	2	0.3
1	-5	-7	69.69	1.3492	2	0.1
1	5	-7	69.69	1.3492	2	0.1
2	0	9	70.43	1.3369	2	0.7
0	0	11	71.06	1.3266	2	0.1
3	-3	-6	71.12	1.3255	2	0.1
3	3	-6	71.12	1.3255	2	0.1
0	4	-9	71.17	1.3247	2	0.1
0	4	9	71.17	1.3247	2	0.1
2	6	0	71.31	1.3226	2	0.3
2	-6	0	71.31	1.3226	2	0.3
2	6	-1	71.37	1.3215	2	0.8
2	-6	-1	71.37	1.3215	2	0.8
1	5	7	71.59	1.3181	2	0.0
1	-5	7	71.59	1.3181	2	0.0
4	0	-1	71.83	1.3143	2	0.3
3	3	5	71.85	1.3139	2	0.2
3	-3	5	71.85	1.3139	2	0.2
2	6	1	71.91	1.3129	2	0.1
2	-6	1	71.91	1.3129	2	0.1
4	0	0	72.03	1.3111	2	0.1
2	-6	-2	72.12	1.3097	2	0.9
2	6	-2	72.12	1.3097	2	0.9
4	0	-2	72.30	1.3069	2	0.4
2	4	7	72.70	1.3006	2	0.0
2	-4	7	72.70	1.3006	2	0.0
4	0	1	72.90	1.2976	2	0.4
3	-1	-8	72.95	1.2968	2	0.0
3	1	-8	72.95	1.2968	2	0.0
0	6	6	73.00	1.2961	2	0.2
